,maker,model,battery,fastcharge_speed,plug,acceleration (sec),topspeed (km/h),erange_real (km),efficiency (Wh/km),country_de (€),country_nl (€)
105,Skoda,Enyaq Coupe iV RS,77.0,560.0,Type 2 CCS,6.5,180,405,190,63300.0,65890.0
106,Opel,Corsa-e ,45.0,460.0,Type 2 CCS,8.1,150,285,158,36395.0,33999.0
107,XPENG,P7 RWD Long Range,82.7,700.0,Type 2 CCS,6.7,200,500,165,,51188.0
108,Lucid,Air Grand Touring,112.0,840.0,Type 2 CCS,3.2,270,665,168,174500.0,165000.0
109,Toyota,bZ4X AWD,64.0,490.0,Type 2 CCS,6.9,160,330,194,57390.0,63995.0
110,Mercedes,EQB 300 4MATIC,66.5,480.0,Type 2 CCS,8.0,160,335,199,55519.0,65483.0
111,Porsche,Taycan ,71.0,1010.0,Type 2 CCS,5.4,230,410,173,88399.0,93500.0
112,Audi,Q4 e-tron 50 quattro,76.6,490.0,Type 2 CCS,6.2,180,385,199,57900.0,70775.0
113,Honda,e Advance,28.5,180.0,Type 2 CCS,8.3,145,170,168,39900.0,40615.0
114,Lucid,Air Pure,88.0,980.0,Type 2 CCS,4.2,200,560,157,100000.0,100000.0
115,Hyundai,Kona Electric 39 kWh,39.2,220.0,Type 2 CCS,9.9,155,250,157,36400.0,
116,MG,Marvel R ,65.0,400.0,Type 2 CCS,7.9,200,335,194,46990.0,47485.0
117,Volkswagen,ID.5 GTX,77.0,560.0,Type 2 CCS,6.3,180,405,190,56455.0,61990.0
118,Smart,EQ fortwo coupe,16.7,,Type 2,11.6,130,100,167,21940.0,24885.0
119,Volvo,EX90 Twin Motor Performance,107.0,570.0,Type 2 CCS,4.9,180,440,243,110650.0,107495.0
120,Nissan,Ariya e-4ORCE 87kWh,87.0,500.0,Type 2 CCS,5.7,200,420,207,66490.0,61990.0
121,Audi,SQ8 e-tron ,106.0,600.0,Type 2 CCS,4.5,210,445,238,110000.0,110000.0
122,Mercedes,EQA 250+,70.5,520.0,Type 2 CCS,8.6,160,375,188,52205.0,59675.0
123,Renault,Megane E-Tech EV60 130hp,60.0,510.0,Type 2 CCS,10.5,150,365,164,47000.0,43190.0
124,Polestar,2 Standard Range Single Motor,67.0,620.0,Type 2 CCS,6.4,205,385,174,50775.0,51200.0
125,Polestar,2 Long Range Dual Motor,78.0,650.0,Type 2 CCS,4.5,205,420,186,58775.0,59900.0
126,Volkswagen,ID.5 Pro Performance,77.0,540.0,Type 2 CCS,8.4,160,430,179,48970.0,54690.0
127,Mercedes,EQV 300 Long,90.0,310.0,Type 2 CCS,12.1,160,305,295,71626.0,80853.0
128,MG,Marvel R Performance,65.0,390.0,Type 2 CCS,4.9,200,330,197,50990.0,51485.0
129,Fisker,Ocean Extreme,100.0,730.0,Type 2 CCS,3.9,200,510,196,69950.0,70000.0
130,Mercedes,EQS AMG 53 4MATIC+,107.8,840.0,Type 2 CCS,3.4,250,565,191,155009.0,173341.0
131,NIO,ET7 75 kWh,70.5,540.0,Type 2 CCS,3.8,200,400,176,81900.0,84900.0
132,MG,ZS EV Standard Range,49.0,260.0,Type 2 CCS,8.6,175,270,181,33990.0,33585.0
133,VinFast,VF 9 Extended Range,123.0,520.0,Type 2 CCS,6.5,200,520,237,89800.0,91300.0
134,Jaguar,I-Pace EV400,84.7,360.0,Type 2 CCS,4.8,200,380,223,92400.0,95450.0
135,Maserati,GranTurismo Folgore,83.0,990.0,Type 2 CCS,2.7,320,425,195,250000.0,250000.0
136,NIO,ET5 100 kWh,90.0,520.0,Type 2 CCS,4.0,200,495,182,70900.0,72900.0
137,Skoda,Enyaq Coupe iV 80,77.0,560.0,Type 2 CCS,8.7,160,445,173,54400.0,56890.0
138,Ford,Mustang Mach-E ER RWD,91.0,400.0,Type 2 CCS,7.0,180,455,200,71200.0,66445.0
139,Volvo,EX90 Twin Motor,107.0,590.0,Type 2 CCS,5.9,180,455,235,105550.0,102495.0
140,NIO,ET7 100 kWh,90.0,530.0,Type 2 CCS,3.8,200,505,178,90900.0,93900.0
141,Lexus,UX 300e,45.0,150.0,Type 2 CHAdeMO,7.5,160,235,191,47550.0,51995.0
142,Porsche,Taycan 4S,71.0,970.0,Type 2 CCS,4.0,250,395,180,108867.0,114200.0
143,Volvo,XC40 Recharge Single Motor ER,78.0,590.0,Type 2 CCS,7.4,180,385,203,53000.0,49995.0
144,Mercedes,EQA 350 4MATIC,66.5,500.0,Type 2 CCS,6.0,160,350,190,56424.0,66935.0
145,Renault,Megane E-Tech EV40 130hp,40.0,360.0,Type 2 CCS,10.0,150,250,160,42000.0,37590.0
146,Abarth,500e Scorpionissima,37.3,370.0,Type 2 CCS,7.0,155,225,166,42000.0,42000.0
147,Nissan,Ariya 63kWh,63.0,430.0,Type 2 CCS,7.5,160,320,197,47490.0,50990.0
148,Kia,EV6 Standard Range 2WD,54.0,750.0,Type 2 CCS,8.5,185,305,177,46990.0,48995.0
149,Skoda,Enyaq iV 80x,77.0,500.0,Type 2 CCS,6.9,160,400,193,,
150,Opel,Astra Sports Tourer Electric,50.8,480.0,Type 2 CCS,8.5,170,300,169,42000.0,42000.0
151,Genesis,GV60 Premium,74.0,1020.0,Type 2 CCS,7.8,185,390,190,,
152,Smart,#1 Brabus,64.0,500.0,Type 2 CCS,3.9,180,335,191,48990.0,48895.0
153,Peugeot,e-308 SW ,51.0,450.0,Type 2 CCS,9.0,150,300,170,45000.0,45000.0
154,Aiways,U5 ,60.0,380.0,Type 2 CCS,7.5,150,315,190,39563.0,40950.0
155,Mercedes,EQE AMG 43 4MATIC,90.6,720.0,Type 2 CCS,4.2,210,485,187,103827.0,111068.0
156,Porsche,Taycan 4 Cross Turismo,83.7,1050.0,Type 2 CCS,5.1,220,425,197,98514.0,104000.0
157,Volvo,C40 Recharge Single Motor ER,78.0,620.0,Type 2 CCS,7.4,180,400,195,54450.0,51495.0
158,Mercedes,EQS 500 4MATIC,107.8,900.0,Type 2 CCS,4.8,210,605,178,125378.0,147326.0
